Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Eirik :)),2023-04-24 11:51:47,00:29:03,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: Once Upon a Time (Episode 26),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:35:28,Not latest view,NO (Norway)
Eirik :)),2023-04-24 11:22:36,00:28:50,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: Boo Normal (Episode 25),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:09,00:43:09,NO (Norway)
Eirik :)),2023-04-23 23:03:30,00:13:31,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: Boo Normal (Episode 25),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:13:44,Not latest view,NO (Norway)
Eirik :)),2023-04-23 22:23:39,00:39:27,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: A Devil of My Word (Episode 24),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:02,00:43:02,NO (Norway)
Eirik :)),2023-04-23 21:43:16,00:39:56,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: Quintessential Deckerstar (Episode 23),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:20,00:43:20,NO (Norway)
Eirik :)),2023-04-23 21:38:22,00:04:49,,Lucifer: Sesong 3: All Hands on Decker (Episode 22),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:19,00:43:19,NO (Norway)
Eirik :)),2023-04-23 16:08:26,02:02:47,,Inside Man,,Google Chromecast V5 Streaming Stick,02:03:15,02:03:15,NO (Norway)
Eirik :)),2023-04-23 16:08:07,00:00:12,,Inside Man,,Google Chromecast V5 Streaming Stick,00:00:12,Not latest view,NO (Norway)
Eirik :)),2023-04-23 14:35:39,00:37:28,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: All Hands on Decker (Episode 22),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:38:30,Not latest view,NO (Norway)
Eirik :)),2023-04-23 13:55:01,00:40:11,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: Anything Pierce Can Do I Can Do Better (Episode 21),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:19,00:43:19,NO (Norway)
Eirik :)),2023-04-23 13:36:53,00:17:31,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: The Angel of San Bernardino (Episode 20),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:21,00:43:21,NO (Norway)
Eirik :)),2023-04-23 13:34:27,00:02:12,,Trailer: One More Time,TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:02:12,00:02:12,NO (Norway)
Eirik :)),2023-04-23 10:33:14,00:21:55,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: The Angel of San Bernardino (Episode 20),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:22:11,Not latest view,NO (Norway)
Eirik :)),2023-04-23 10:32:33,00:00:11,Autoplayed: user action: None; ,Sesong 4: Percy (Klipp): The Sinner,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:11,00:00:11,NO (Norway)
Eirik :)),2023-04-22 23:11:12,00:18:53,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: Orange Is the New Maze (Episode 19),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:05,00:43:05,NO (Norway)
Eirik :)),2023-04-22 12:30:07,00:23:38,,Lucifer: Sesong 3: Orange Is the New Maze (Episode 19),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:24:13,Not latest view,NO (Norway)
Eirik :)),2023-04-22 11:47:36,00:42:23,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: The Last Heartbreak (Episode 18),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:19,00:43:19,NO (Norway)
Eirik :)),2023-04-22 11:19:29,00:26:58,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: Let Pinhead Sing! (Episode 17),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:21,00:43:21,NO (Norway)
Eirik :)),2023-04-22 09:12:34,00:15:21,,Lucifer: Sesong 3: Let Pinhead Sing! (Episode 17),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:16:07,Not latest view,NO (Norway)
Eirik :)),2023-04-22 08:33:54,00:38:34,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: Infernal Guinea Pig (Episode 16),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:13,Not latest view,NO (Norway)
Eirik :)),2023-04-21 17:02:24,00:00:48,Autoplayed: user action: None; ,Sesong 1 (Klipp): Alex Schwazer: Den lange veien tilbake,HOOK,Safari MAC (Cadmium),00:00:00,00:00:00,NO (Norway)
Eirik :)),2023-04-21 14:03:27,00:04:05,,Lucifer: Sesong 3: Infernal Guinea Pig (Episode 16),,Safari MAC (Cadmium),00:04:41,Not latest view,NO (Norway)
Eirik :)),2023-04-21 13:46:22,00:16:54,,Lucifer: Sesong 3: High School Poppycock (Episode 15),,Safari MAC (Cadmium),00:42:54,00:42:54,NO (Norway)
Eirik :)),2023-04-21 13:46:08,00:00:10,Autoplayed: user action: None; ,Miniserie (Klipp 2): Sjimpansenes rike,HOOK,Safari MAC (Cadmium),00:00:10,00:00:10,NO (Norway)
Eirik :)),2023-04-18 20:20:16,00:19:24,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: High School Poppycock (Episode 15),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:23:44,Not latest view,NO (Norway)
Eirik :)),2023-04-18 08:55:45,00:03:46,,Lucifer: Sesong 3: High School Poppycock (Episode 15),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:04:24,Not latest view,NO (Norway)
Eirik :)),2023-04-18 08:34:17,00:16:47,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: My Brother's Keeper (Episode 14),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:18,00:43:18,NO (Norway)
Eirik :)),2023-04-17 20:47:20,00:00:10,Autoplayed: user action: None; ,Trailer: Stutz,TRAILER,Safari MAC (Cadmium),00:00:10,00:00:10,NO (Norway)
Eirik :)),2023-04-17 20:44:23,00:00:04,Autoplayed: user action: None; ,Trailer: If Anything Happens I Love You,TRAILER,Safari MAC (Cadmium),00:00:04,00:00:04,NO (Norway)
